Vendor,Name,Unit,Rate
STOP & SHOP,STELLA AIR FRESHENER - ROSE 400 ML B12 X 400 ML,PCS,32.87
STOP & SHOP,STELLA AIR FRESHENER - APPLE 400 ML B12 X 400 ML,PCS,32.87
STO VILLIMALE,ALNOOR MILK POWDER POUCH KG,CTN,1215
,FRESH ROYAL APPLE,PCS,0
AK TRADERS,US MUSTARD CREAM 9OZ*12,PCS,32.41
PROPAK,SANDWICH PAPER 30X40CM,PCS,200
GROW SHOP,CUCUMBER,KG,40
,WHIT FISH,KG,
HAPPY MARKET,GARLIC CHILLI SAUCE YAKIN (6X2.9KG),BTL,97.22
AK TRADERS,SAFA CHILLI&GARLIC SAUCE 24*340G,PCS,13.89
AK TRADERS,GLOVES DISPOS SUN 12*12*24,DOZ,125
PROPAK,2oz SAUCE CUP 2OZ 50 PCS,PCK,65
PROPAK,SZ 1 OZ 50 PCS PACK,PCK,48
PROPAK,SQUARE BOTTOM BAG 24X13X8 50 PCS,PCK,33
STOP & SHOP,POLY BRITE STEEL WOOL 12 Pcs1x12pcs,PCS,4.584
,LAVAZZA BLUE VIGOROSO CAPSULE,100x9.5g,7.87
,GASTRONOMY TOPPING 1KG,10x1kg,286.852
HAPPY MARKET,MOZZARELLA CHEESE BLOCK 4x2.5KG,CTN,1620.38
,THE FISH CHANNEL - B-21,KG,70
,Red Bull 250ml/can,24x250ml,48
AK TRADERS,WHITE CABBAGE 25kg,KG,500
AK TRADERS,YEAST POWDER,PCS,55.56
STOP & SHOP,TISSUE NORMAL,CSE,
AK TRADERS,TOMATO SAUCE  1*4 pcs *5KG,PCS,231.48
S&O CORNER,BROWN EGSS 1x360,CTN,720
HAPPY MARKET,CHICKEN NUGGETS (40x300 GM),PKT,25.45
,CORRIENDER LEAF,KG,
,NUTRO BISCUIT,CSE,221.4
S&O CORNER,TOMATO KETCHUP YAKIN 9 grams,CSE,600
AK TRADERS,CINAMMON STICK,KG,200
AK TRADERS,STARANISE,KG,
,,,
,BROOM,PCE,
,,,
STO VILLIMALE,FLOUR,BAG,
STO VILLIMALE,SUGAR,BAG,
